date,outbound,inbound
2024-09-01,4674,2975
2024-09-02,5692,3413
2024-09-03,5576,3280
2024-09-04,4771,3114
2024-09-05,4617,2849
2024-09-06,5017,2359
2024-09-07,3893,3003
2024-09-08,4885,2870
2024-09-09,5786,3460
2024-09-10,5245,3287
2024-09-11,5033,3353
2024-09-12,4776,2949
2024-09-13,4983,2698
2024-09-14,4443,2823
2024-09-15,4894,2719
2024-09-16,5290,3250
2024-09-17,6181,3651
2024-09-18,5906,3408
2024-09-19,5120,2690
2024-09-20,4666,2827
2024-09-21,4870,2835
2024-09-22,5489,3184
2024-09-23,5154,3275
2024-09-24,5886,3268
2024-09-25,4888,3420
2024-09-26,4641,2938
2024-09-27,4836,2984
2024-09-28,4234,2987
2024-09-29,5013,2963
2024-09-30,5190,3230
2024-10-01,5470,3708
2024-10-02,4439,3199
2024-10-03,4315,2750
2024-10-04,4368,2500
2024-10-05,4955,2994
2024-10-06,5017,3067
2024-10-07,5463,3112
2024-10-08,5767,3464
2024-10-09,5029,3200
2024-10-10,4946,2576
2024-10-11,4350,2865
2024-10-12,4172,3073
2024-10-13,4966,3553
2024-10-14,5649,3284
2024-10-15,5677,3383
2024-10-16,5303,3496
2024-10-17,5592,2949
2024-10-18,4730,2809
2024-10-19,4998,2687
2024-10-20,5769,2770
2024-10-21,5102,3467
2024-10-22,5277,3088
2024-10-23,5844,3410
2024-10-24,4649,2765
2024-10-25,4629,2814
2024-10-26,5039,2745
2024-10-27,5379,3290
2024-10-28,6031,3351
2024-10-29,6052,3742
2024-10-30,5655,2972
2024-10-31,4671,3012
2024-11-01,4872,2777
2024-11-02,4827,2883
2024-11-03,4728,3382
2024-11-04,5944,3415
2024-11-05,5859,3127
2024-11-06,5362,3302
2024-11-07,4847,2853
2024-11-08,4289,2680
2024-11-09,4806,3043
2024-11-10,5280,2949
2024-11-11,5283,3229
2024-11-12,5980,3370
2024-11-13,5033,3392
2024-11-14,4294,3060
2024-11-15,4974,2735
2024-11-16,4640,2787
2024-11-17,5116,2844
2024-11-18,5295,3160
2024-11-19,5163,3240
2024-11-20,5753,3180
2024-11-21,4738,3348
2024-11-22,5174,2654
2024-11-23,5017,2789
2024-11-24,5073,2673
2024-11-25,5235,3439
2024-11-26,5439,3062
2024-11-27,5027,3035
2024-11-28,5585,3166
2024-11-29,4739,2375
2024-11-30,5134,2874
2024-12-01,4801,3251
2024-12-02,5629,3631
2024-12-03,6026,3201
2024-12-04,5304,3099
2024-12-05,5282,3325
2024-12-06,4379,2798
2024-12-07,4394,2715
2024-12-08,5309,2954
2024-12-09,5475,3139
2024-12-10,5880,3304
2024-12-11,4825,3448
2024-12-12,5200,3149
2024-12-13,5498,2575
2024-12-14,4809,2912
2024-12-15,5220,3024
2024-12-16,5656,3497
2024-12-17,5142,3368
2024-12-18,5560,3312
2024-12-19,4519,2947
2024-12-20,4604,2380
2024-12-21,5203,2885
2024-12-22,5003,2857
2024-12-23,5767,3496
2024-12-24,6019,3270
2024-12-25,5530,3124
2024-12-26,4603,2984
2024-12-27,4646,2940
2024-12-28,5432,2849
2024-12-29,4630,3447
2024-12-30,5548,3684
2024-12-31,5563,3756
2025-01-01,5497,3205
2025-01-02,5253,2696
2025-01-03,5243,3075
2025-01-04,4778,2807
2025-01-05,5495,3133
2025-01-06,5794,3487
2025-01-07,5885,3099
2025-01-08,5305,3584
2025-01-09,4743,3174
2025-01-10,4444,2908
2025-01-11,4646,3075
2025-01-12,5362,3244
2025-01-13,5887,3391
2025-01-14,5854,3365
2025-01-15,5324,3118
2025-01-16,5598,3064
2025-01-17,5244,2917
2025-01-18,4780,3121
2025-01-19,5032,3180
2025-01-20,5711,3204
2025-01-21,6151,3119
2025-01-22,5602,3247
2025-01-23,5238,3008
2025-01-24,4738,2832
2025-01-25,5037,2605
2025-01-26,5757,3361
2025-01-27,5615,3597
2025-01-28,5828,3276
2025-01-29,5593,3441
2025-01-30,5170,3211
2025-01-31,4392,2867
2025-02-01,4352,2728
2025-02-02,5002,3476
2025-02-03,5751,3465
2025-02-04,5965,3398
2025-02-05,5371,3441
2025-02-06,5512,3352
2025-02-07,4787,2767
2025-02-08,4935,3063
2025-02-09,5263,3549
2025-02-10,5755,3173
2025-02-11,6024,3345
2025-02-12,5744,3174
2025-02-13,4843,3003
2025-02-14,5301,2831
2025-02-15,4614,2992
2025-02-16,5359,3003
2025-02-17,5646,3279
2025-02-18,5512,3522
2025-02-19,5536,3332
2025-02-20,4904,3216
2025-02-21,4880,2962
2025-02-22,5078,3093
2025-02-23,5791,2946
2025-02-24,5835,3333
2025-02-25,5658,3839
2025-02-26,5455,3386
2025-02-27,5183,3198
2025-02-28,4900,2942
2025-03-01,5408,3031
2025-03-02,5782,3135
2025-03-03,5649,4131
2025-03-04,5690,3397
2025-03-05,4819,3307
2025-03-06,4990,2570
2025-03-07,4593,3115
2025-03-08,4878,2842
2025-03-09,5495,3176
2025-03-10,5824,3318
2025-03-11,5860,3455
2025-03-12,5660,3265
2025-03-13,5131,3054
2025-03-14,4959,2890
2025-03-15,4029,2929
2025-03-16,5311,3162
2025-03-17,5751,3693
2025-03-18,5781,3666
2025-03-19,5549,3506
2025-03-20,5394,2923
2025-03-21,4735,3159
2025-03-22,5673,3193
2025-03-23,5612,3092
2025-03-24,5797,3743
2025-03-25,5835,3360
2025-03-26,5602,2967
2025-03-27,4922,3297
2025-03-28,4899,2891
2025-03-29,5110,3169
2025-03-30,5593,3059
2025-03-31,5986,3193
2025-04-01,5829,3750
2025-04-02,5218,3061
2025-04-03,5010,2771
2025-04-04,5426,2537
2025-04-05,5309,2422
2025-04-06,5544,3009
2025-04-07,5598,3018
2025-04-08,5926,3504
2025-04-09,5280,2902
